,Period,Dream Job,Club 1, Club 2,Club 3,Tweets,LHC,VLA,MRI,Seis,Water Samples,Emails,Social Network,animal image,instagram,handwritten,martian landscape,sport,HTML,interview,web-ad,psychological,books,delivery logs,county vote,temperatures,wireless str,Others1,Others2,Others3,Others4
0,7,CEO,makers,techmasters,band,3,5,5.0,4,4,3.0,5,5.0,3,2,4,4.0,1,3,3,5,2,4,3,3,2,4.0,,,,
1,5,,debate,investment club,aviation club,5,2,4.0,3,2,5.0,4,5.0,1,4,5,2.0,4,1,5,5,5,2,4,4,2,1.0,body language during ASM,,,
2,7,JPL operations engineer,makers,astronomy,mock trial,1,4,5.0,3,3,2.0,2,2.0,1,1,1,5.0,1,3,2,1,1,1,4,4,2,2.0,,,,
3,5,Google R&D,robotics,techmasters,german,2,3,4.8,2,2,1.0,2,2.0,4,2,3,5.0,2,5,2,3,1,4,3,4,2,3.5,radio interpretation,,,
4,7,tech entrepreneur,phillipian,techmasters,astronomy club,5,2,5.0,2,3,3.0,4,4.0,5,3,3,4.0,4,5,4,3,3,4,3,3,4,3.0,,,,
5,5,rollerskating waitress,philo/debate,model UN,Democracy project,5,2,2.0,4,4,3.0,4,3.0,2,4,4,3.0,2,2,2,4,3,2,5,5,3,4.0,Financial Records from a company,,,
6,7,entrepreneur,cs club,filo,movie makers,2,3,2.0,3,5,2.0,4,2.0,2,4,2,2.0,2,2,2,3,4,4,2,2,2,3.0,,,,
7,5,venture capital,economics society,big ideas club,phillipian,4,2,2.0,3,2,3.0,4,5.0,4,4,5,2.0,3,3,3,4,4,3,4,5,3,4.0,,,,
8,5,tech entrepreneur,robotics,cs club,techmasters,4,5,4.0,3,1,1.0,4,3.0,5,4,4,5.0,1,5,2,2,3,1,5,3,3,4.0,,,,
9,5,research scientist,robotics,ecoaction,,5,5,2.0,5,2,5.0,4,2.0,5,2,4,2.0,2,2,4,4,5,4,5,5,5,4.0,,,,
10,7,math-related,robotics,techmasters,gaming,4,5,4.0,3,2,4.0,4,1.0,3,1,3,5.0,2,1,4,5,5,5,4,4,5,3.0,,,,
11,7,tech entrepreneur,techmasters,cs club,,4,2,4.0,3,5,4.0,5,4.0,2,5,4,3.0,3,5,5,4,4,3,5,4,4,5.0,,,,
12,5,,WOFO,GSA,,4,3,2.0,3,4,3.0,5,4.0,4,3,4,5.0,3,3,3,2,5,5,4,4,3,3.0,,,,
13,7,neuroscientist,international club,SLAM/dance,out of the blue,5,2,3.0,5,1,4.0,4,2.0,5,5,5,5.0,1,5,1,2,5,5,1,4,2,2.0,PA English or History Papers,Phillipian articles,Bluecard Checkins and times,Commons crowding
14,5,engineer,cs club,band,peer tutor,3,4,2.0,2,3,4.0,4,4.0,2,3,5,1.0,2,1,5,4,2,1,3,4,4,2.0,,,,
15,5,,chess,quiz bowl,cs club,4,5,4.0,5,3,3.0,5,4.0,2,2,3,2.0,3,4,5,5,5,4,3,2,3,4.0,Census Data,FBI Crime Data,,
16,7,tech entrepreneur,tang,entrpreneurs club,sports medicine,5,2,2.0,3,1,3.0,4,5.0,3,5,3,3.0,4,5,5,4,3,3,4,5,5,4.0,,,,
17,5,Developer,cs club,math,,4,5,5.0,2,3,1.0,4,4.0,2,3,4,5.0,4,3,4,5,4,4,3,3,4,3.0,,,,
18,5,tech entrepreneur,math,cs club,indopak,4,2,3.0,2,2,,4,,3,3,3,,4,4,5,5,4,4,5,5,3,5.0,,,,
19,5,biomedical engineer,robotics,blue moon (sci),cs club,5,3,2.0,3,3,2.0,5,2.0,1,5,2,5.0,2,4,3,4,4,3,4,5,3,4.0,,,,
20,5,product manager,phillipian,tour guide,student activities,4,2,2.0,2,2,2.0,3,3.0,4,5,5,3.0,4,1,5,5,4,4,2,5,3,1.0,,,,
