state,electoral_votes,nixon_number,nixon_percent,nixon_electoral_votes,humphrey_number,humphrey_percent,humphrey_electoral_votes,wallace_number,wallace_percent,wallace_electoral_votes,margin,margin_percent,state_total,state_code
Alabama,10,146923,13.99,,196579,18.72,,691425,65.86,10,494846,47.13,1049917,AL
Alaska,3,37600,45.28,3,35411,42.65,,10024,12.07,,2189,2.64,83035,AK
Arizona,5,266721,54.78,5,170514,35.02,,46573,9.56,,96207,19.76,486936,AZ
Arkansas,6,189062,31.01,,184901,30.33,,235627,38.65,6,46565,7.64,609590,AR
California,40,3467664,47.82,40,3244318,44.74,,487270,6.72,,223346,3.08,7251587,CA
Colorado,6,409345,50.46,6,335174,41.32,,60813,7.50,,74171,9.14,811199,CO
Connecticut,8,556721,44.32,,621561,49.48,8,76650,6.10,,64840,5.16,1256232,CT
Delaware,3,96714,45.12,3,89194,41.61,,28459,13.28,,7520,3.51,214367,DE
D.C.,3,31012,18.18,,139566,81.82,3,,,,108554,63.64,170578,DC
Florida,14,886804,40.53,14,676794,30.93,,624207,28.53,,210010,9.60,2187805,FL
Georgia,12,380111,30.40,,334440,26.75,,535550,42.83,12,155439,12.43,1250266,GA
Hawaii,4,91425,38.70,,141324,59.83,4,3469,1.47,,49899,21.12,236218,HI
Idaho,4,165369,56.79,4,89273,30.66,,36541,12.55,,76096,26.13,291183,ID
Illinois,26,2174774,47.08,26,2039814,44.15,,390958,8.46,,134960,2.92,4619749,IL
Indiana,13,1067885,50.29,13,806659,37.99,,243108,11.45,,261226,12.30,2123597,IN
Iowa,9,619106,53.01,9,476699,40.82,,66422,5.69,,142407,12.19,1167931,IA
Kansas,7,478674,54.84,7,302996,34.72,,88921,10.19,,175678,20.13,872783,KS
Kentucky,9,462411,43.79,9,397541,37.65,,193098,18.29,,64870,6.14,1055893,KY
Louisiana,10,257535,23.47,,309615,28.21,,530300,48.32,10,220685,20.11,1097450,LA
Maine,4,169254,43.07,,217312,55.30,4,6370,1.62,,48058,12.23,392936,ME
Maryland,10,517995,41.94,,538310,43.59,10,178734,14.47,,20315,1.64,1235039,MD
Massachusetts,14,766844,32.89,,1469218,63.01,14,87088,3.73,,702374,30.12,2331752,MA
Michigan,21,1370665,41.46,,1593082,48.18,21,331968,10.04,,222417,6.73,3306250,MI
Minnesota,10,658643,41.46,,857738,54.00,10,68931,4.34,,199095,12.53,1588510,MN
Mississippi,7,88516,13.52,,150644,23.02,,415349,63.46,7,264705,40.44,654509,MS
Missouri,12,811932,44.87,12,791444,43.74,,206126,11.39,,20488,1.13,1809502,MO
Montana,4,138835,50.60,4,114117,41.59,,20015,7.29,,24718,9.01,274404,MT
Nebraska,5,321163,59.82,5,170784,31.81,,44904,8.36,,150379,28.01,536851,NE
Nevada,3,73188,47.46,3,60598,39.29,,20432,13.25,,12590,8.16,154218,NV
New Hampshire,4,154903,52.10,4,130589,43.93,,11173,3.76,,24314,8.18,297298,NH
New Jersey,17,1325467,46.10,17,1264206,43.97,,262187,9.12,,61261,2.13,2875395,NJ
New Mexico,4,169692,51.85,4,130081,39.75,,25737,7.86,,39611,12.10,327281,NM
New York,43,3007932,44.30,,3378470,49.76,43,358864,5.29,,370538,5.46,6790066,NY
North Carolina,13,627192,39.51,12,464113,29.24,,496188,31.26,1,131004,8.25,1587493,NC
North Dakota,4,138669,55.94,4,94769,38.23,,14244,5.75,,43900,17.71,247882,ND
Ohio,26,1791014,45.23,26,1700586,42.95,,467495,11.81,,90428,2.28,3959698,OH
Oklahoma,8,449697,47.68,8,301658,31.99,,191731,20.33,,148039,15.70,943086,OK
Oregon,6,408433,49.83,6,358866,43.78,,49683,6.06,,49567,6.05,819622,OR
Pennsylvania,29,2090017,44.02,,2259405,47.59,29,378582,7.97,,169388,3.57,4747928,PA
Rhode Island,4,122359,31.78,,246518,64.03,4,15678,4.07,,124159,32.25,385000,RI
South Carolina,8,254062,38.09,8,197486,29.61,,215430,32.30,,38632,5.79,666982,SC
South Dakota,4,149841,53.27,4,118023,41.96,,13400,4.76,,31818,11.31,281264,SD
Tennessee,11,472592,37.85,11,351233,28.13,,424792,34.02,,47800,3.83,1248617,TN
Texas,25,1227844,39.87,,1266804,41.14,25,584269,18.97,,38960,1.27,3079406,TX
Utah,4,238728,56.49,4,156665,37.07,,26906,6.37,,82063,19.42,422568,UT
Vermont,3,85142,52.75,3,70255,43.53,,5104,3.16,,14887,9.22,161404,VT
Virginia,12,590319,43.36,12,442387,32.49,,321833,23.64,,147932,10.87,1361491,VA
Washington,9,588510,45.12,,616037,47.23,9,96990,7.44,,27527,2.11,1304281,WA
West Virginia,7,307555,40.78,,374091,49.60,7,72560,9.62,,66536,8.82,754206,WV
Wisconsin,12,809997,47.89,12,748804,44.27,,127835,7.56,,61193,3.62,1691538,WI
Wyoming,3,70927,55.76,3,45173,35.51,,11105,8.73,,25754,20.25,127205,WY
